City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Lompoc,US,34.6391,-120.4579,89.74,71,75,7.0,broken clouds
81,Pontivy,FR,48.0,-3.0,63.25,95,8,7.52,clear sky
82,Cape Town,ZA,-33.9258,18.4232,55.09,82,83,1.01,light rain
83,Hauterive,FR,46.0901,3.4459,63.36,94,89,0.29,overcast clouds
84,Klaksvik,FO,62.2266,-6.589,52.72,96,94,11.07,overcast clouds
85,Mahibadhoo,MV,3.7833,72.9667,81.55,78,100,13.62,overcast clouds
86,Baiyin,CN,36.5583,104.2081,63.27,64,4,7.2,clear sky
87,Arlit,NE,18.7369,7.3853,84.51,50,95,14.74,overcast clouds
88,Pacific Grove,US,36.6177,-121.9166,95.4,76,31,11.99,scattered clouds
89,Thinadhoo,MV,0.5333,72.9333,81.86,74,100,8.68,overcast clouds
90,Kismayo,SO,-0.3582,42.5454,75.88,81,76,20.11,broken clouds
91,Katsuura,JP,35.1333,140.3,82.11,84,100,17.22,overcast clouds
92,Balikpapan,ID,-1.2675,116.8289,76.89,85,95,6.64,overcast clouds
93,Bretcu,RO,46.05,26.3,74.71,75,15,2.66,few clouds
94,Belyy Yar,RU,53.6039,91.3903,60.69,77,0,8.95,clear sky
95,Yumen,CN,40.2833,97.2,75.51,22,34,8.16,scattered clouds
96,Rognan,NO,67.0953,15.3878,66.88,85,12,5.39,few clouds
97,Ilulissat,GL,69.2167,-51.1,55.42,62,100,2.3,overcast clouds
98,Kahului,US,20.8947,-156.47,84.97,86,50,10.0,scattered clouds
99,Avarua,CK,-21.2078,-159.775,77.05,65,20,5.75,few clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,78.76,71,12,11.79,few clouds
101,East London,ZA,-33.0153,27.9116,73.11,26,0,10.04,clear sky
102,Shingu,JP,33.7333,135.9833,78.91,68,94,3.71,overcast clouds
103,Shirokovskiy,RU,58.8424,57.7832,48.96,73,90,6.13,overcast clouds
104,Adrar,MR,20.5022,-10.0711,92.53,21,100,12.84,overcast clouds
105,Dubrovnik,HR,42.6481,18.0922,83.84,36,0,3.44,clear sky
106,Monbon,PH,12.7307,124.0189,79.16,86,99,9.37,light rain
107,Takhtamygda,RU,54.1,123.5667,61.09,98,100,4.45,overcast clouds
108,Wajid,SO,3.8093,43.2471,73.92,64,97,21.32,overcast clouds
109,Awbari,LY,26.5921,12.7805,86.59,17,2,9.62,clear sky
110,Portland,US,45.5234,-122.6762,90.9,40,42,1.01,scattered clouds
111,Souillac,MU,-20.5167,57.5167,68.36,87,100,16.44,light rain
112,Nome,US,64.5011,-165.4064,51.17,93,90,11.5,light rain
113,Kapaa,US,22.0752,-159.319,84.18,78,100,4.0,overcast clouds
114,Lavrentiya,RU,65.5833,-171.0,44.28,99,100,9.89,light rain
115,Challapata,BO,-18.9,-66.7667,49.23,27,0,23.09,clear sky
116,Novoshakhtinsk,RU,47.7604,39.9334,73.24,62,46,6.55,scattered clouds
117,Padang,ID,-0.9492,100.3543,77.05,88,46,3.18,scattered clouds
118,Haines Junction,CA,60.7522,-137.5108,58.95,72,92,1.14,overcast clouds
119,Lasa,IT,46.6166,10.7002,63.34,95,95,3.85,overcast clouds
120,Kloulklubed,PW,7.0419,134.2556,83.61,74,85,10.09,very heavy rain
121,Olafsvik,IS,64.8945,-23.7142,51.64,86,99,13.51,overcast clouds
122,Mahebourg,MU,-20.4081,57.7,68.29,94,75,13.8,moderate rain
123,Ratnagiri,IN,16.9833,73.3,79.61,83,100,15.52,overcast clouds
124,Hithadhoo,MV,-0.6,73.0833,80.91,78,96,7.72,overcast clouds
125,Ojinaga,MX,29.5667,-104.4167,104.58,16,40,3.44,scattered clouds
126,Corvallis,US,44.5646,-123.262,91.74,44,62,1.99,broken clouds
127,Dunbar,US,38.3606,-81.7374,92.89,42,0,1.01,clear sky
128,Pisco,PE,-13.7,-76.2167,66.02,83,26,5.53,scattered clouds
129,Mulanje,MW,-16.0316,35.5,57.72,91,75,6.22,broken clouds
130,Goma,CD,-1.6792,29.2228,64.4,67,82,1.77,broken clouds
131,Jamestown,US,42.097,-79.2353,77.09,64,96,7.0,overcast clouds
132,Tasiilaq,GL,65.6145,-37.6368,44.76,78,33,7.65,scattered clouds
133,Bandarbeyla,SO,9.4942,50.8122,79.63,67,15,24.45,few clouds
134,Kavaratti,IN,10.5669,72.642,81.43,79,100,20.54,overcast clouds
135,San Cristobal,VE,7.7669,-72.225,78.03,60,26,4.16,scattered clouds
136,Moerai,PF,-22.4333,-151.3333,74.08,72,89,10.92,overcast clouds
137,Salalah,OM,17.0151,54.0924,77.5,90,97,10.42,overcast clouds
138,Mount Gambier,AU,-37.8333,140.7667,46.98,82,25,17.11,scattered clouds
139,Bengkulu,ID,-3.8004,102.2655,72.9,74,47,5.01,scattered clouds
