City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Tra Vinh,VN,78.33,scattered clouds,9.9347,106.3453,Hồng Ân
381,North Bend,US,76.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
385,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
390,San Juan De Uraba,CO,80.62,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
394,Guerrero Negro,MX,81.25,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
399,Korla,CN,85.95,clear sky,41.7597,86.1469,Gulisitan Hotel
404,Talavera De La Reina,ES,77.58,clear sky,39.9635,-4.8308,Be Live City Center Talavera
408,Oranjestad,AW,80.94,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
413,Nibbar,TN,81.48,clear sky,36.2941,8.7666,
414,Govindgarh,IN,80.11,moderate rain,27.5,76.9833,Manoj Rajput
415,Eufaula,US,79.23,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
416,Ipixuna,BR,80.55,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
418,Lewiston,US,78.19,broken clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
421,Port Moresby,PG,77.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
422,Ugoofaaru,MV,82.38,scattered clouds,5.6667,73.0,Ungoofaaru Inn
424,Saquarema,BR,82.42,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
425,Basco,PH,83.39,moderate rain,20.4487,121.9702,Nathaniel's Lodge
428,San Francisco Menendez,SV,83.43,scattered clouds,13.8431,-90.0158,La casa de las Rivera
433,Grande Riviere Du Nord,HT,84.25,scattered clouds,19.5833,-72.1833,La Belle Maison
436,Blind River,CA,77.25,broken clouds,46.1834,-82.9582,Auberge Eldo Inn
438,Casimiro Castillo,MX,85.46,broken clouds,19.6,-104.4333,Hotel San José
441,Sao Miguel Do Araguaia,BR,79.25,few clouds,-13.275,-50.1628,Hotel Executivo Palace
442,Mana,GF,79.93,scattered clouds,5.6592,-53.7767,LE SAMANA
448,Sinnamary,GF,79.39,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
450,Hearst,CA,75.04,few clouds,49.6835,-83.6665,Companion
451,Santa Barbara,US,84.76,clear sky,34.7333,-120.0343,Upper Ballard Campground
453,Sao Domingos Do Maranhao,BR,83.35,scattered clouds,-5.5758,-44.3853,Pousada Babaçu
456,Raton,US,86.07,overcast clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
457,Owando,CG,81.21,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
458,Aykhal,RU,77.41,few clouds,66.0,111.5,
459,Sachin,IN,80.56,overcast clouds,21.0833,72.8833,Hotel Ashish
462,Alta Floresta,BR,82.56,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
467,Brokopondo,SR,81.84,overcast clouds,4.75,-55.1667,Matu Island
469,Sorong,ID,78.82,overcast clouds,-0.8833,131.25,waigo splash hotel
470,Maine-Soroa,NE,79.18,overcast clouds,13.2114,12.0241,Complexe
471,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
473,Huanan,CN,78.89,scattered clouds,46.2167,130.5167,Xilong Hotel
474,Clemencia,CO,83.57,overcast clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
480,Nouakchott,MR,76.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
481,New Baltimore,US,88.09,broken clouds,42.6811,-82.7369,Northpointe Shores RV Resort
483,Palmer,US,88.11,broken clouds,42.1584,-72.3287,Wedgewood Motel
499,Bitung,ID,79.65,few clouds,1.4451,125.1824,K2 Lembeh
500,Paranaiba,BR,83.1,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
504,Meulaboh,ID,76.53,scattered clouds,4.1363,96.1285,Kost Pria
507,Safaga,EG,89.83,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
517,Mogadishu,SO,76.62,light rain,2.0371,45.3438,Hotel Juba
518,Yarmouth,US,85.23,clear sky,41.7057,-70.2286,Blue Rock Resort
521,Norsup,VU,78.53,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
523,Ban Nahin,LA,75.72,overcast clouds,18.2418,104.2122,
525,Simbahan,PH,83.37,broken clouds,6.3032,120.5836,
529,Bilma,NE,87.19,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
531,Sao Raimundo Nonato,BR,80.06,few clouds,-9.0153,-42.6994,Real Hotel
537,Bubaque,GW,80.06,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
541,Manokwari,ID,78.82,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
542,Port Blair,IN,81.61,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
544,Cabra,ES,84.9,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
546,Banda Aceh,ID,80.06,scattered clouds,5.5577,95.3222,Sulthan Hotel International
548,Trindade,BR,80.35,few clouds,-16.6494,-49.4889,Pousada Central
553,Danli,HN,83.55,overcast clouds,14.0333,-86.5833,Cielo
554,Coari,BR,83.25,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
561,Santa Rosa,PH,82.9,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
565,San Quintin,MX,75.88,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
567,Huilong,CN,81.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
573,Mandiana,GN,75.83,overcast clouds,10.6333,-8.6833,Motels rouzo
575,Biak,ID,75.31,broken clouds,-0.9131,122.8766,Penginapan Kim
576,Gao,ML,88.83,broken clouds,16.6362,1.637,
577,Minggang,CN,75.7,overcast clouds,32.4586,114.0486,Yindu Hotel
578,Ranong,TH,79.97,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
581,Durango,MX,82.67,scattered clouds,24.8333,-104.8333,
583,Marang,MY,77.85,overcast clouds,5.2056,103.2059,DBarakah Homestay
587,Longhua,CN,79.59,broken clouds,23.6137,114.1919,Huadu Hotel
593,Udachnyy,RU,77.99,broken clouds,66.4167,112.4,Severnoye Siyaniye
597,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
599,Lipari,IT,85.08,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
603,Anton Lizardo,MX,89.22,broken clouds,19.05,-95.9833,Hotel CocoAventura
604,Pa Sang,TH,77.2,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
605,Umm Lajj,SA,87.4,broken clouds,25.0213,37.2685,Moon light Furnished Units
606,Vila Velha,BR,77.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
608,Korolevo,UA,76.6,broken clouds,48.1525,23.1366,Чорна Скеля
609,Tabuk,PH,76.95,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
616,Rio De Janeiro,BR,82.36,clear sky,-22.9028,-43.2075,Hotel Málaga
625,Grand-Santi,GF,79.14,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
628,Amahai,ID,77.13,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
631,Nicoya,CR,80.15,overcast clouds,10.1483,-85.452,Guayacan Real
633,Garowe,SO,75.63,overcast clouds,8.4054,48.4845,Curubo Hotel
635,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
636,Diffa,NE,79.16,overcast clouds,13.3154,12.6113,ProDAF/Diffa
640,Takoradi,GH,75.31,overcast clouds,4.8845,-1.7554,Raybow International Hotel
641,Villanueva,HN,88.79,few clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
644,Sanchor,IN,82.72,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
648,Douazeci Si Trei August,RO,75.85,clear sky,43.9167,28.5833,Majestic
650,Hurezani,RO,78.37,clear sky,44.8,23.65,Pensiunea Agroturistică Marius
651,Anibongan,PH,77.83,overcast clouds,7.3933,125.7189,Prk.3 San Isidro
654,Sedhiou,SN,77.43,overcast clouds,12.7081,-15.5569,Auberge Cheznous
656,Yangjiang,CN,80.62,scattered clouds,21.85,111.9667,HUALUXE Yangjiang City Center
657,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
658,Kelapa Sawit,MY,82.31,broken clouds,1.6698,103.5327,Tea Garden Hotel
659,West Bay,KY,77.07,broken clouds,19.3667,-81.4167,Calypso Cove
662,Anori,BR,83.14,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
663,Salinopolis,BR,79.21,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
665,Porto Novo,BJ,76.57,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
667,Sabha,LY,86.27,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
672,Mangrol,IN,81.64,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
677,Hazorasp,UZ,77.38,clear sky,41.3194,61.0742,Kemping wifi hotel
